2234	The water froze when the temperature dropped.	溫度下降時，水結冰了。	froze	結冰
4053	Good posture helps you sit comfortably.	良好的姿勢能讓你坐得舒適。	posture	姿勢
5481	Keep the biscuits in a metal tin.	把餅乾放在金屬罐裡。	tin	罐
5497	The toilet is at the end of the hall.	廁所在走廊的盡頭。	toilet	廁所
5523	The loud noise tortured him all night.	巨大的噪音整夜折磨著他。	tortured	折磨
1958	The writer was exiled to a remote island.	那位作家被放逐到一座偏遠的島嶼。	exiled	放逐
2436	My guess is that the train will be late.	我猜火車會誤點。	guess	猜
382	She received an award for her volunteer work.	她因志工服務而獲獎。	award	獎
1271	There is a small crack in the window.	窗戶上有一道小裂縫。	crack	裂縫
3388	He moaned in pain when he tried to stand.	他試著站起來時痛得呻吟。	moaned	呻吟
1707	The pharmacist explained how to take the drug.	藥師說明了這種藥的服用方法。	drug	藥
4132	Please print a copy of the report for me.	請幫我列印一份報告。	print	列印
3716	The school outfitted the team with new uniforms.	學校為球隊配備了新制服。	outfitted	配備
2415	She welcomed us with a cheerful greeting.	她愉快地向我們問候，歡迎我們到來。	greeting	問候
2850	Sharing their worries helped them build emotional intimacy.	分享彼此的煩惱有助於他們建立情感上的親密關係。	intimacy	親密關係
5532	They towed the broken car to a nearby garage.	他們把故障的汽車拖到附近的修車廠。	towed	拖
3395	The hotel offers good rooms at moderate prices.	這家飯店以適中的價格提供不錯的客房。	moderate	適中的
401	The picnic was canceled because of bad weather.	野餐因天氣惡劣而取消。	bad	惡劣
678	She carried a bundle of newspapers under her arm.	她腋下夾著一捆報紙。	bundle	捆
5103	Please state your name clearly.	請清楚說出你的名字。	state	說出
357	She attributes her success to hard work.	她把自己的成功歸因於努力。	attributes	歸因
5525	The total cost includes breakfast and transportation.	總費用包含早餐和交通。	total	總
5127	He turned on the stereo to listen to music.	他打開立體音響聽音樂。	stereo	立體音響
5180	Tie the parcel with a piece of string.	用一段細繩把包裹綁好。	string	細繩
3173	Please lower your voice in the library.	在圖書館裡請壓低音量。	lower	壓低
741	The company needs more capital to expand.	這家公司需要更多資本來擴展業務。	capital	資本
3746	Don't overlook the small details in the instructions.	別忽略說明中的小細節。	overlook	忽略
3448	She mounted the horse without any help.	她不靠任何人幫忙，自己騎上了馬。	mounted	騎上
2447	The gut plays an important role in digestion.	腸道在消化過程中扮演重要角色。	gut	腸道
10	The museum has an exhibition of aboriginal art.	這間博物館有一場原住民藝術展。	aboriginal	原住民
767	They carted the boxes from the truck to the warehouse.	他們把箱子從卡車搬運到倉庫。	carted	搬運
432	She walked across the grass with bare feet.	她赤著腳走過草地。	bare	赤著
1387	She wrote a letter to a dear friend.	她寫了一封信給一位親愛的朋友。	dear	親愛的
2464	He used a hammer to fix the broken chair.	他用鐵鎚修好那張壞掉的椅子。	hammer	鐵鎚
26	No one has the right to abuse another person.	沒有人有權虐待別人。	abuse	虐待
3765	He packed his bags before leaving for the airport.	他出發前往機場前先整理好行李。	packed	整理
2048	Her family has farmed this land for many years.	她的家人已在這片土地上耕作多年。	farmed	耕作
4533	His friends ribbed him about his new haircut.	朋友們拿他的新髮型開玩笑。	ribbed	開玩笑
5591	Don't trifle with other people's feelings.	不要玩弄別人的感情。	trifle	玩弄
3167	She lounged on the sofa after a long day.	忙了一整天後，她懶洋洋地躺在沙發上。	lounged	懶洋洋地躺
818	A chain of small mistakes caused the accident.	一連串的小錯誤造成了這場事故。	chain	一連串
745	Read the caption below the photograph.	讀一下照片下方的說明文字。	caption	說明文字
2461	The bus came to a halt at the crossing.	公車在路口停了下來。	halt	停
4525	The workers revolted against the unfair rules.	工人們起來反抗不公平的規定。	revolted	反抗
4189	A large proportion of the students walk to school.	很大比例的學生步行上學。	proportion	比例
2073	A useful feature of this app is offline access.	這個應用程式的一項實用功能是離線存取。	feature	功能
5214	You can substitute oil for butter in this recipe.	在這個食譜中，你可以用油代替奶油。	substitute	代替
3742	The river overflowed its banks after the heavy rain.	大雨過後，河水溢出了河岸。	overflowed	溢出
39	The film received critical acclaim around the world.	這部電影獲得了世界各地影評人的讚譽。	acclaim	讚譽
5601	The Tropic of Cancer crosses Taiwan.	北迴歸線經過臺灣。	Tropic	迴歸線
753	Safety is the cardinal rule in this workshop.	安全是這間工作坊最重要的原則。	cardinal	最重要的
3592	The museum displayed a nude sculpture.	博物館展出了一座裸體雕像。	nude	裸體
2296	She gasped for air after running up the stairs.	她跑上樓梯後大口喘氣。	gasped	喘氣
4211	The provincial government announced a new transport plan.	省政府公布了一項新的交通計畫。	provincial	省
879	He choked on a piece of bread.	他被一塊麵包噎住了。	choked	噎住
79	The clinic provides support for drug addicts.	這間診所為毒品成癮者提供支持。	addicts	成癮者
